set title "Yo"
set ylabel "Temp"
set xlabel "Time"
set xtics 36000
set xdata time
set timefmt "%d-%m-%Y-%H:%M"
set format x "%d-%m-%Y-%H:%M"
set xrange ["30-06-2011-16:31":"30-06-2011-21:10"]
plot '-' using 1:2 title 'Probe 1' with lines linewidth 2, '-' using 1:2 title 'Probe 2' with lines linewidth 1
30-06-2011-16:31 17.125
30-06-2011-17:01 17.0625
30-06-2011-17:05 17.125
30-06-2011-17:32 17.4375
30-06-2011-17:53 17.4375
30-06-2011-17:58 19.75
30-06-2011-18:03 19.875
30-06-2011-18:08 19.8125
30-06-2011-18:13 19.9375
30-06-2011-18:15 19.625
30-06-2011-18:16 10.1875
30-06-2011-18:16 6.125
30-06-2011-18:16 4.5625
30-06-2011-18:18 -6.0
30-06-2011-18:19 -11.125
30-06-2011-18:20 -13.75
30-06-2011-18:21 -15.125
30-06-2011-18:22 -15.8125
30-06-2011-18:23 -16.1875
30-06-2011-18:24 -16.3125
30-06-2011-18:25 -16.3125
30-06-2011-18:26 -16.3125
30-06-2011-18:27 -16.25
30-06-2011-18:28 -16.1875
30-06-2011-18:29 -16.0625
30-06-2011-18:30 9.5
30-06-2011-18:31 17.4375
30-06-2011-18:32 18.875
30-06-2011-18:33 19.4375
30-06-2011-18:34 19.75
30-06-2011-18:35 19.8125
30-06-2011-18:36 19.9375
30-06-2011-18:37 19.9375
30-06-2011-18:38 19.9375
30-06-2011-18:39 19.9375
30-06-2011-18:40 19.9375
30-06-2011-18:41 20.0
30-06-2011-18:42 20.0
30-06-2011-18:44 20.0
30-06-2011-18:45 20.0625
30-06-2011-18:46 20.0625
30-06-2011-18:47 20.0625
30-06-2011-18:48 20.0
30-06-2011-18:49 20.0
30-06-2011-18:50 20.0625
30-06-2011-18:51 20.0625
30-06-2011-18:52 20.0625
30-06-2011-18:53 20.0
30-06-2011-18:54 20.0625
30-06-2011-18:55 20.0625
30-06-2011-18:56 20.0
30-06-2011-18:57 19.875
30-06-2011-18:58 19.8125
30-06-2011-18:59 19.6875
30-06-2011-19:00 19.625
30-06-2011-19:01 19.625
30-06-2011-19:02 19.4375
30-06-2011-19:03 19.375
30-06-2011-19:04 19.3125
30-06-2011-19:05 19.25
30-06-2011-19:06 19.25
30-06-2011-19:07 19.125
30-06-2011-19:08 19.125
30-06-2011-19:10 19.0625
30-06-2011-19:11 19.0
30-06-2011-19:12 18.9375
30-06-2011-19:13 19.0
30-06-2011-19:14 19.0
30-06-2011-19:15 18.9375
30-06-2011-19:16 18.875
30-06-2011-19:17 18.875
30-06-2011-19:18 18.875
30-06-2011-19:19 18.8125
30-06-2011-19:20 18.8125
30-06-2011-19:21 18.8125
30-06-2011-19:22 18.8125
30-06-2011-19:23 19.0
30-06-2011-19:24 19.3125
30-06-2011-19:25 19.5625
30-06-2011-19:26 19.75
30-06-2011-19:27 19.9375
30-06-2011-19:28 20.0
30-06-2011-19:29 20.0625
30-06-2011-19:30 20.125
30-06-2011-19:31 20.125
30-06-2011-19:32 20.125
30-06-2011-19:33 19.75
30-06-2011-19:34 19.625
30-06-2011-19:36 19.8125
30-06-2011-19:37 19.9375
30-06-2011-19:38 20.1875
30-06-2011-19:39 20.1875
30-06-2011-19:40 20.25
30-06-2011-19:41 20.375
30-06-2011-19:42 20.3125
30-06-2011-19:43 20.4375
30-06-2011-19:44 20.4375
30-06-2011-19:45 20.5625
30-06-2011-19:46 20.375
30-06-2011-19:47 20.5625
30-06-2011-19:48 20.5625
30-06-2011-19:49 20.625
30-06-2011-19:50 19.9375
30-06-2011-19:51 19.5
30-06-2011-19:52 19.3125
30-06-2011-19:53 19.3125
30-06-2011-19:54 19.375
30-06-2011-19:55 19.3125
30-06-2011-19:56 19.375
30-06-2011-19:57 19.4375
30-06-2011-19:58 19.5
30-06-2011-19:59 19.4375
30-06-2011-20:00 19.375
30-06-2011-20:02 19.3125
30-06-2011-20:03 19.3125
30-06-2011-20:04 19.3125
30-06-2011-20:05 19.25
30-06-2011-20:06 19.25
30-06-2011-20:07 19.25
30-06-2011-20:08 19.3125
30-06-2011-20:09 19.3125
30-06-2011-20:10 19.1875
30-06-2011-20:11 19.25
30-06-2011-20:12 19.125
30-06-2011-20:13 19.1875
30-06-2011-20:14 19.25
30-06-2011-20:15 19.3125
30-06-2011-20:16 19.375
30-06-2011-20:17 19.375
30-06-2011-20:18 19.375
30-06-2011-20:19 19.4375
30-06-2011-20:20 19.4375
30-06-2011-20:21 19.25
30-06-2011-20:22 19.0625
30-06-2011-20:23 19.0
30-06-2011-20:24 19.0
30-06-2011-20:25 18.9375
30-06-2011-20:26 18.875
30-06-2011-20:28 18.875
30-06-2011-20:29 18.875
30-06-2011-20:30 18.875
30-06-2011-20:31 18.875
30-06-2011-20:32 18.8125
30-06-2011-20:33 18.75
